review,date,rating,name, address
Great location.  We walked to most places.  Very clean.  We were a little disappointed the pool was closed but under the circumstances we absolutely understood.   On the first day we were there one of the elevators broke and since we were on the 19th floor it took a bit of time to move floors but the staff was trying to help and let us use the service elevator to cut down waits.  The staff was so friendly and helpful.  We'd stay here again.,Aug 19| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
A great location. Big room with a wonderful city view. The small kitchen was very good since we have a baby.,Aug 14| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Pros:The staff was super friendly and helpful. The continental breakfast was great. The location was super! Close to a lot of places.Cons: The room could’ve been a bit cleaner (i.e. you could tell that the vacuuming wasn’t very thorough| mirror was streaky| etc) and had a bit of a smell.Pool was closed for maintenance. Parking wasn’t on site.,Aug 14| 2021,4,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Wish the gym and pool were open| but because of Covid they weren't,Aug 10| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
We had a kitchenette unit and the full size refrigerator was a real benefit.   The bed was pleasantly comfortable.  The location was very walkable to the rail and bus and shopping.  We felt safe and avoided walking east under N Michigan Ave after dark and walked on E Ohio street instead.,Aug 9| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
This property was perfectly situated downtown near the river walk and navy pier. I had a corner suite with a kitchenette and a great view. The train station and grocery store were about 2 blocks. Breakfast was included which was a treat,Aug 7| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
The staff was very accommodating.,Aug 6| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
The room was really clean and nice. Staff was helpful and friendly. Slight lack of communication in where to park and it costs $50 to park overnight to stay at the hotel,Aug 4| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Great Customer service,Aug 3| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
,Aug 3| 2021,4,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Nice hotel,Aug 1| 2021,5,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Room needs updating but a good room for the price| great location,Jul 31| 2021,4,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
Excellent location. Nearby Starbucks| Eataly| Nordstrom’s| CVS etc. Substantial hot breakfast buffet. Queen suite very good size for 3 people but sofa bed is terrible to sleep on. Cushions on the floor would be more comfortable.,Jul 30| 2021,4,Homewood Suites by Hilton Chicago Downtown,40 East Grand Avenue| Chicago| IL| 60611
