review,date,rating,name, address
,Aug 19| 2021,4,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Location was ideal in terms of proximity to attractions like Millennium Park and the riverwalk.,Aug 19| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Room was incredibly clean and comfortable. Staff was friendly and attentive. Great experience!,Aug 19| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Very clean| well maintained property. Professional| attentive staff. They only offer valet parking but are very timely when you need your vehicle.  Great location| just 1 block to the Riverwalk and walking distance to excellent restaurants and shopping. We drove to the beach| navy pier area and paid for parking (keep that in mind wherever you drive)!,Aug 19| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
The Hampton Inn is close to UIUC engineering department| slightly far to the main dinning restaurant area| about 10-15 minutes walk| but manageable. Property is clean| plenty parking space. Overall| it is a good location to stay in UIUC.,Aug 18| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
,Aug 18| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Breakfast would have been a nice extra to include,Aug 18| 2021,4,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Only thing I liked Hotel is walkable to most of the attractions and remaining things are horrible like Valet parking is so costly it’s $69 per night. Room is not good for the price. They are giving  connecting rooms and our room is so smelly due to the other connecting room persons are smoking so beware of that. No free breakfast.,Aug 18| 2021,1,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
,Aug 17| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
,Aug 17| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
One night stay. Good location 8/10,Aug 16| 2021,4,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Excellent and friendly staff and service,Aug 16| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
,Aug 15| 2021,3,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Highly recommended that any person visiting Chicago stay at this location. It’s close to so many attractions and conveniently located.,Aug 15| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Great stay! Excellent location. Some of the front desk staff were not the friendliest (no acknowledgement you were coming/going) but that didn’t bother us. Rooms were a bit on the smaller side but beds were comfy and view was great. Would recommend!,Aug 14| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
El hotel tiene una excelente ubicación| en particular el aire acondicionado de mi cuarto hacia demasiado ruido que me despertaba por la noche| en general la Ciudad es cara y el valet parking del hotel cuesta 69 usd por noche| nosotros preferimos buscar un estacionamiento a 10 min de distancia.El hotel tiene muy buena tarifa comparado con los de su alrededor y cabe destacar el excelente servicio del personal| extendí mi hora del check out y en el front desk se portaron muy amables.,Aug 13| 2021,4,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Most noticeable was the lack of a welcoming| comfortable lobby. That being said| the front desk staff was very helpful and friendly and our rooms were clean and up-to-date. Most positive note is the great location so close to Chicago's fun River Front!,Aug 13| 2021,4,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
,Aug 13| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
Holy| one of hotel receptionist. She helped my mother to find an Uber because my mother didn’t know how to do it. She went out with her and wait until she saw my mother was in the right car. Thank you!! We need more people like Holy. I would definitely recommended this hotel. Thank you Holy!,Aug 13| 2021,5,Hilton Garden Inn Chicago Downtown Riverwalk,66 East Wacker Place| Chicago| IL| 60601
