review,date,rating,name, address
,Aug 18| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Staff was friendly| but the cleaning could improve. Some area were not even clean and didn’t replace paper cups that we used for coffe,Aug 17| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Hotel served its purpose for one night stay. Room was clean and comfortable| but our neighbors were loud. There is no valet or parking garage| but the is fee to park in a open parking lot at hotel. The only thing complimentary is coffee and the store wasn't stocked. Definitely recommend bring water and snacks.,Aug 15| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Property is clean. Next to freeway but quiet. Far from other hotels.. Front desk did not explain in detail that rooms would only be cleaned with 24 hour request in advance. Parking is $15 but wasn’t hard to find (should just include it in the price). Pool was closed but also not notified until arrival (okay for me but families with kids seemed disappointed). Staff is efficient but not outgoing or very friendly.,Aug 14| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Says free breakfast there wasn't any breakfast says indoor pool pool was out of service they should mention that before people book rooms,Aug 10| 2021,1,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
The pool was out of service| we planned on relaxing the day we checked in| we drove 3 hours from 100  degree weather and could not enjoy our first night as planned| the manager comped us for parking and that was nice but we were looking forward to the indoor pool.,Aug 9| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Aug 6| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Spacious room and in great condition. The problem is getting to hotel from SFO airport which is 10min away at any time of the day| their shuttle service to/ from airport is very limited- within 3 hour-gap early in the morning and 3 hour-gap at night. Plus hotel is very far from public transportation. Ultimately I will never stay at this hotel again because I spent more on Uber and Lyft rides.I recommend another Double Tree| not this at North location.,Aug 6| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
I was disappointed because one of the bedsheet and pillow sheet had little blood stain on it. Bathroom had mold. If we were staying more than a night I would’ve left and go to a different hotel,Aug 5| 2021,2,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
I guess for the money it was ok but will pay more and stay elsewhere next time.,Aug 5| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Always stay here on our trips to San Francisco. Always very clean and quiet and not to far of a drive to the city. Highly recommend,Aug 4| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Aug 3| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
The road entrance is all tore up very very rough road,Aug 3| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Aug 2| 2021,1,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Business trip and the hotel was convenient.  Nothing special.,Jul 31| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Clean| quiet| and comfortable. Lauren was super nice and went out of her way to make sure everything was above our expectations. Highly recommended hotel.,Jul 29| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Property and room was very clean. Staff was very friendly and helpful.,Jul 27| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
You can never go wrong with a Double Tree from my experience. THe rooms are always clean| the beds comfy| and the staff cool. I was disappointed that the hot tub was not working and the pool was unseasonably cold. But overall| a great time was had by all.,Jul 25| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Close to a walking bath around the bay.,Jul 24| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 19| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Always stay here on our trips to San Francisco. Always very clean and quiet and not to far of a drive to the city. Highly recommend,Aug 4| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Aug 3| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
The road entrance is all tore up very very rough road,Aug 3| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Aug 2| 2021,1,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Business trip and the hotel was convenient.  Nothing special.,Jul 31| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Clean| quiet| and comfortable. Lauren was super nice and went out of her way to make sure everything was above our expectations. Highly recommended hotel.,Jul 29| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Property and room was very clean. Staff was very friendly and helpful.,Jul 27| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
You can never go wrong with a Double Tree from my experience. THe rooms are always clean| the beds comfy| and the staff cool. I was disappointed that the hot tub was not working and the pool was unseasonably cold. But overall| a great time was had by all.,Jul 25| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Close to a walking bath around the bay.,Jul 24| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 19| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 1| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 1| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
When we were about to check in| they couldn’t find our room that we booked through Expedia. And when we showed them our confirmation email| they said they never got anything from Expedia. So we never got the room that we initially booked and they had to put us in a handicapped room. The room was okay| the bathroom smelled and the lightbulbs were out on one of the lamps| and lastly the fridge didn’t function properly.,Jul 1| 2021,2,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
It had easy access to the highway.  The hot tub is included as an amenity but was closed for unspecified reasons.  The reviews said parking was free which was a huge enticement but when we checked in we were told it's $15/day ($85) that was not told in advance when factoring finances.,Jun 29| 2021,1,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jun 27| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Great place to stay,Jun 26| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Average cleanliness.  Bed and sheets smelled.  I expected more during a pandemic.,Jun 26| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jun 25| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Noisy neighbors| talking out loud around 2:00 am| lowered discussions around 4:00 am.,Jun 25| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Nice Hotel spent one night during covid bar was closed I would recommend hotel close to airport,Jun 25| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 1| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jul 1| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
When we were about to check in| they couldn’t find our room that we booked through Expedia. And when we showed them our confirmation email| they said they never got anything from Expedia. So we never got the room that we initially booked and they had to put us in a handicapped room. The room was okay| the bathroom smelled and the lightbulbs were out on one of the lamps| and lastly the fridge didn’t function properly.,Jul 1| 2021,2,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
It had easy access to the highway.  The hot tub is included as an amenity but was closed for unspecified reasons.  The reviews said parking was free which was a huge enticement but when we checked in we were told it's $15/day ($85) that was not told in advance when factoring finances.,Jun 29| 2021,1,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jun 27| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Great place to stay,Jun 26| 2021,5,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Average cleanliness.  Bed and sheets smelled.  I expected more during a pandemic.,Jun 26| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
,Jun 25| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Noisy neighbors| talking out loud around 2:00 am| lowered discussions around 4:00 am.,Jun 25| 2021,3,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
Nice Hotel spent one night during covid bar was closed I would recommend hotel close to airport,Jun 25| 2021,4,DoubleTree by Hilton Hotel San Francisco Airport North,5000 Sierra Point Pkwy| Brisbane| CA| 94005
