review,date,rating,name, address
Nice restaurant and bar| room was spacious and clean and staff was very friendly and helpful as well as nice airport shuttle easy travel to airport and on time,Aug 25| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Do like-Convinient location near Airport.Did not like-AC system are very loud and system outdated.Bathroom bathtub water draining very slow casing to fill up quickly.Bathroom definately needs modernization.Outdated TV and old remote.No option not to have Vallet and free parking.Expected better,Aug 23| 2021,3,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Excellebt staff| nice room| great stay.,Aug 23| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Gentlemen who checked us in eas very accommodating.,Aug 20| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
It’s a terrible hotel| they cancel my reservation and didn’t contact me. The manager was rude and mean| and you can imagine how the staff will be. 0 customer service. Don’t go their guys.,Aug 19| 2021,1,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
We found everything to be quite nice| clean| and peaceful.The staff there were very professional and took the time to listened  to my questions.  I felt very much at home there.,Aug 18| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The shuttle service was great,Aug 18| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
This property is not as advertised. There is no free parking| required $25   a day valet. The pool is closed and has been for over a year. I paid for a room and breakfast every morning and they did not see that at the desk and I spent half a day on the phone with orbitz trying to get that fixed. When I did| the lady at the front desk still gave me attitude about it| except Crystal- she is wonderful! The room was less than clean and someone had set our room alarm to 4:20am and we have two exhausted children (I’m all for a 4:20 joke but COME ON). There was a “Jesus fish” painted in wax or crayon on our bathroom mirror that was super creepy| sheets had a stain| curtains stained and found old Cheerios and pills around the beds. ALSO even though I paid in full for our stay I was required to put a $400 deposit on my room ($100 a night) which I was not aware of before check in. Do yourself a favor and stay at the Marriott next door!,Aug 17| 2021,2,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Everything was good except they did not answer the phone for the shuttle.,Aug 17| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
They advertise a pool as an amenity and when we arrived| the staff said the pool is closed indefinitely.  They advertise free parking| and when we arrived| they are charging $25 a day plus tax. We had to park on the street. This was not a pleasant stay and we will never ever stay at this property again.,Aug 17| 2021,2,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Clean room| fair price| courteous staff| and appreciated the frequent airport shuttle service.,Aug 16| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Hotel was as expected. Excellent airport shuttle service.  Room was fine| but perfume smell and ac was noisy.,Aug 16| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
,Aug 15| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Run down rooms and hallways,Aug 15| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
It was clean and the staff were great,Aug 12| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
It’s Convenience if you only staying for one night and traveling,Aug 12| 2021,1,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The staff here is super friendly and helpful! Check in and out is quick! This property is very quiet and you can get lots of rest and relaxation here!,Aug 12| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The hotel it’s a little old,Aug 11| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
This property is very convenient due to its proximity to JKF airport.,Aug 11| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
We understand that due to the pandemic and though the food personnel was great| clean and friendly| there were very few choices on the menu.,Aug 11| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Clean room| fair price| courteous staff| and appreciated the frequent airport shuttle service.,Aug 16| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Hotel was as expected. Excellent airport shuttle service.  Room was fine| but perfume smell and ac was noisy.,Aug 16| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
,Aug 15| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Run down rooms and hallways,Aug 15| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
It was clean and the staff were great,Aug 12| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
It’s Convenience if you only staying for one night and traveling,Aug 12| 2021,1,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The staff here is super friendly and helpful! Check in and out is quick! This property is very quiet and you can get lots of rest and relaxation here!,Aug 12| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The hotel it’s a little old,Aug 11| 2021,4,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
This property is very convenient due to its proximity to JKF airport.,Aug 11| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
We understand that due to the pandemic and though the food personnel was great| clean and friendly| there were very few choices on the menu.,Aug 11| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Needs a total renovation!Should not charge the price I paid!Joanna,Aug 5| 2021,3,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Met my needs for travel.,Aug 4| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
The plus is the vicinity to JFK airport and the shuttle service. Very little customer orientation. Limited dining. Cleanliness could be better.,Aug 3| 2021,3,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
,Aug 3| 2021,5,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Friendly staff but the scent was not appealing throughout the hotel. The restaurant served stale food for dinner. The chicken (wings and strips) were all bad and the sauces were expired,Aug 3| 2021,3,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
Recycling available,Aug 1| 2021,3,Hilton New York JFK Airport,144-02 135th Avenue| Jamaica| NY| 11436
