review,date,rating,name, address
This hotel was okay for an overnight stay.  It was clean and the staff was helpful.,Aug 16| 2021,3,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Limited parking,Aug 16| 2021,4,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Property was spacious and comfortable Staff was helpful and polite Parking too expensive and not clear in ad that it was not included,Aug 15| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Roof top hangout and loved the kitchen in our room.Breakfast was just ok Wifi not happening,Aug 10| 2021,4,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Great view| excellent room and helpful staff.,Aug 5| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
I stayed at this location for four days leading up to me flying out of the US - I had my dogs with me. All I can say is thank you to everyone. The cleaning team are amazing and so conscientious. Absolute pleasure staying here,Aug 4| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Aug 2| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 26| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Great staff good area near subway lines clean safe hotel,Jul 26| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 25| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 25| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 24| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 24| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Parking situation was not great but expected in NYC. So close to subway and great restaurants; perfect and affordable location to see/visit Manhattan!,Jul 20| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 19| 2021,4,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Very clean| friendly staff| great breakfast. Nice rooms with kitchen amenities.,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
It was a great stay. This hotel is in a very convenient area for our stay. The subway is steps away down the street. Parking was tricky though we used a lot on the next block over. It was not bad $60 for three days. We took the subway too get around the city. It was our first time and once we learned the routes we were good. Train N was our friend took us too Times Square and Coney Island.,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
The man at the front desk was amazing. Helped us with a situation and was always courteous.,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 15| 2021,4,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 25| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 24| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 24| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Parking situation was not great but expected in NYC. So close to subway and great restaurants; perfect and affordable location to see/visit Manhattan!,Jul 20| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 19| 2021,4,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
Very clean| friendly staff| great breakfast. Nice rooms with kitchen amenities.,Jul 19| 2021,5,Home2 Suites by Hilton NY Long Island City/Manhattan View,39-06 30th St.| Long Island City| NY| 11101
