review,date,rating,name, address
,Aug 17| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
The view was beautiful. Comfortable room !,Aug 15| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
The view was everything!!!,Aug 15| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Location,Aug 14| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Liked the viewfrom our room| yet the windows obviously didn't get washed on the inside before we stayed.,Aug 11| 2021,1,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Beautiful hotel| and the view was breathtaking from the 29th floor! However| I was really disappointed that there wasn’t a microwave| and the refrigerator could only hold maybe 3-4 bottles of water!!! Didn’t see an ice machine either!,Aug 6| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Park no good,Aug 4| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Great hotel! Very clean| rooms are nice and comfortable. Right price for what you get.,Aug 3| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Great location and very friendly staff. Amazing views. We woill stay there again.,Aug 3| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
I loved this property and will definitely stay there again! Every single staff was helpful and friendly! My view was immaculate and the size of the room fit my needs. Close to everything and easy access to taxis and Ubers. I do however| wish there was an over night kitchen or mini store for toiletries and snacks.  Even a microwave to reheat leftover meals or if I bring my children next time. Other than that I have no complaints and I recommend this hotel to everyone especially Californians who are used to spacious hotels.,Aug 3| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Hotel has great views,Aug 2| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Aug 2| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Location,Aug 1| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Not the room we wanted :( but it was still ok,Jul 30| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Really  nice view,Jul 27| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Everyone was so sweet and the room was huge with an amazing view! I would definitely stay there again. The receptionist was so nice she even gave us early check-in. Even the barista in the little shop was so sweet. I will definitely return!,Jul 27| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
I like the location| but the amenities were very limited. I can’t believe it| the first hotel that I have stayed that “SELLS ICE CUBES “Hmmm very disappointing….,Jul 26| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Though the reservation was for a room with two double beds| the only room offered had a couple of twin beds!,Jul 26| 2021,2,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 25| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
This was my favorite hotel to stay in pre-Covid. Unfortunately now much has changed and not for the better. First| there is no hotel valet! As everyone knows around the hotel is UN parking and it is impossible to find find parking| so the lack of valet is a huge inconvenience. The clock/music player was outdated and not functioning well. When I called down to have it replaced I was brought an even older version. And finally I was told there were no functioning icemakers in the hotel| and if I wanted ice I had to go down to the ground level to the café and purchase ice by the cup or the bag. I was literally charged five dollars for a tiny bag of ice that could fit in the palm of my hand. Was disappointing because this hotel is beautiful and I absolutely love the views so hoping that they consider changing these things in the future,Jul 25| 2021,2,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Hotel has great views,Aug 2| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Aug 2| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Location,Aug 1| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Not the room we wanted :( but it was still ok,Jul 30| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Really  nice view,Jul 27| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Everyone was so sweet and the room was huge with an amazing view! I would definitely stay there again. The receptionist was so nice she even gave us early check-in. Even the barista in the little shop was so sweet. I will definitely return!,Jul 27| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
I like the location| but the amenities were very limited. I can’t believe it| the first hotel that I have stayed that “SELLS ICE CUBES “Hmmm very disappointing….,Jul 26| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Though the reservation was for a room with two double beds| the only room offered had a couple of twin beds!,Jul 26| 2021,2,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 25| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
This was my favorite hotel to stay in pre-Covid. Unfortunately now much has changed and not for the better. First| there is no hotel valet! As everyone knows around the hotel is UN parking and it is impossible to find find parking| so the lack of valet is a huge inconvenience. The clock/music player was outdated and not functioning well. When I called down to have it replaced I was brought an even older version. And finally I was told there were no functioning icemakers in the hotel| and if I wanted ice I had to go down to the ground level to the café and purchase ice by the cup or the bag. I was literally charged five dollars for a tiny bag of ice that could fit in the palm of my hand. Was disappointing because this hotel is beautiful and I absolutely love the views so hoping that they consider changing these things in the future,Jul 25| 2021,2,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
The staff was incredibly helpful.  From the front desk to the bell hop| it was top notch.,Jul 18| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 17| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Great stay very clean,Jul 16| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 16| 2021,1,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
This hotel| is in a great location| very accessible to little restaurants nearby. The room was spacious and the view was breathtaking. Honestly the view was worth everything.,Jul 15| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Amazing quality of service ! Words cannot express how polite| helpful and friendly was everyone in the hotel specially  the front desk lady who helped us check in. The location is amazing!!! Walking distance to grand central| Bryant park and Times Square. And much more. Would definitely recommend to everyone I know and will use it in the future.,Jul 15| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
.,Jul 12| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Hotel was quiet| and immaculate| as far as cleanliness.Highly recommend. Staff is courteous and attentive to all requests.,Jul 12| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
The view from the room and location was good. Lot of places nearby to eat out. The staff was generally nice (meets expectations). But it is an old hotel with hardly any space in the lobby. Lots of mirrors to hide the space problems (pictures on the site are deceptive). I could see ants crawling in the room| linens were oldish and bit soiled. Ratings on Expedia do not reflect reality. Maybe they invested to get the ratings improved artificially...Not sure. Would not recommend the price.,Jul 12| 2021,2,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Not friendly staff,Jul 11| 2021,3,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
The staff was incredibly helpful.  From the front desk to the bell hop| it was top notch.,Jul 18| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 17| 2021,4,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Great stay very clean,Jul 16| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
,Jul 16| 2021,1,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
This hotel| is in a great location| very accessible to little restaurants nearby. The room was spacious and the view was breathtaking. Honestly the view was worth everything.,Jul 15| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
Amazing quality of service ! Words cannot express how polite| helpful and friendly was everyone in the hotel specially  the front desk lady who helped us check in. The location is amazing!!! Walking distance to grand central| Bryant park and Times Square. And much more. Would definitely recommend to everyone I know and will use it in the future.,Jul 15| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
.,Jul 12| 2021,5,Millennium Hilton New York One UN Plaza,1 United Nations Plaza| New York| NY| 10017
