review,date,rating,name, address
Amazing!!!,Jun 28| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 28| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Will be back soon,Jun 22| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
It is close to the Capital and it easy and safe to walk around,Jun 19| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Excellent,Jun 15| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean and modern. Surprised about the neighborhood but still safe and in the city,Jun 14| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Jun 6| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
We had a great view of the Capitol and the Metro was just a few blocks away. Super convenient.,Jun 3| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,May 3| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Average property for this level of hotel. The good part is that they have a microwave oven for public access during this pandemic. Cons was that the staff service was bad to be honest.,May 2| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Room was a good size and staff was friendly. My only criticism is there was no desk to sit at with a computer and outlet.,Apr 26| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Good,Apr 25| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Overall the hotel and view were amazing| only complaint was even with the a/c on| the room stayed fairly warm. We set it to 60 to cool it off and it never got below 70. Otherwise our stay was wonderful.,Apr 24| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 16| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
muy lindo y limpio el lugar las atenciones de primera,Apr 12| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 10| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Not enough tea in room,Apr 10| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Good location| nice and gentle attention.  I will back to this hotel.,Apr 10| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
